ID,Restaurant Name,Image Source,Discount,Restaurant Link
14,Casa Goia,https://images.deliveryhero.io/image/stores-glovo/stores/a4b094778970bda8d32b41d30874a95ceaa3d9eb12785092c04c8090968402a0?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/casa-goia-clj/
15,Pizzeria Prova,https://images.deliveryhero.io/image/stores-glovo/stores/12debbad3cd37744ac95e4f924a948df99fec881d63344183c86a5948afea9cf?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/pizzeria-prova-floresti-clj/
16,Que Chido,https://images.deliveryhero.io/image/stores-glovo/stores/ba941668fbcf5a81a22cf64a94bb5d6cfee708cb5e8b1493da5cfba62f4dc4ae?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/que-chido/
17,KFC,https://images.deliveryhero.io/image/stores-glovo/stores/a4e073b95f8a602914b3709784bc36f16672566db8bd22655b47f0dea3e26c7a?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/kfc-clj/
18,Rosa,https://images.deliveryhero.io/image/stores-glovo/stores/e533525a7c8bdb3ad0c3c0c0456fc4445edc850396c711c1c8f22a02b54f08a7?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/rosa/
19,Mama Manu,https://images.deliveryhero.io/image/stores-glovo/stores/b6b68297ecb9aa4f9acb7a85f86036fba24b1132ec3743eb7de6aeec34e0f93a?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/mama-manu/
20,Noodle Pack,https://images.deliveryhero.io/image/stores-glovo/stores/115f15f03d11c58354abe2916e8f234a18ef87e4a1b77767caf502a4c54ce621?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/noodle-pack-tim/
21,Crispy Store,https://images.deliveryhero.io/image/stores-glovo/stores/2550bd1d7cbd02be1812e7c55f5b43fe373595c8ac2f0712e3e4b77bba233ee6?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/crispy-storeclj/
22,Storia Cucina Centrale,https://images.deliveryhero.io/image/stores-glovo/stores/edc607192bf01b3040e8c43063f889997d8bbdea6e68875617845f7febd57f36?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/storia-cucina-centrale-clj-/
23,Mado,https://images.deliveryhero.io/image/stores-glovo/stores/96bc98af2036263b29a6a60cbf95e0cf5b423c9f8ab1106c06add7838fd95516?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/mado-clj/
