ID,Restaurant Name,Restaurant Img Src,Restaurant Discount,Restaurant Link
34,Sushi HATO - The Japanese Experience,https://tazzcdn.akamaized.net/uploads/cover/CoverHato_2-2.jpg,-50%,https://tazz.ro/cluj-napoca/sushi-hato-the-japanese-experience/5521/restaurant
35,Gelateria Gioelia Cluj Napoca,https://tazzcdn.akamaized.net/uploads/cover/cover_gioelia_6.jpg,,https://tazz.ro/cluj-napoca/gelateria-gioelia-cluj-napoca/18076/restaurant
36,Ronin Sushi delivery,https://tazzcdn.akamaized.net/uploads/cover/family_pack_nigiri_1.jpg,-30%,https://tazz.ro/cluj-napoca/ronin-sushi-delivery/9375/restaurant
37,La Nu Stiu Cine,https://tazzcdn.akamaized.net/uploads/cover/IMG_7028.jpg,,https://tazz.ro/cluj-napoca/la-nu-stiu-cine/3397/restaurant
38,Ucraina food,https://tazzcdn.akamaized.net/uploads/cover/Screenshot_2022-07-05_160531.jpg,-20%,https://tazz.ro/cluj-napoca/ucraina-food/14007/restaurant
39,Kebapci,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover-12.jpg,-10%,https://tazz.ro/cluj-napoca/kebapci/1530/restaurant
40,Sushi Omakase,https://tazzcdn.akamaized.net/uploads/cover/WhatsApp_Image_2020-08-04_at_14.54.43.jpeg,,https://tazz.ro/cluj-napoca/sushi-omakase/3454/restaurant
41,Pastellini,https://tazzcdn.akamaized.net/uploads/cover/AllAmatriciana_3-min.jpg,-20%,https://tazz.ro/cluj-napoca/pastellini/5562/restaurant
42,TRIB,https://tazzcdn.akamaized.net/uploads/cover/cover_276.jpg,,https://tazz.ro/cluj-napoca/trib/9828/restaurant
43,Nobil Sushi Floresti,https://tazzcdn.akamaized.net/uploads/cover/Nobil-Mix-1-770x513.jpg,Doar pe Tazz,https://tazz.ro/cluj-napoca/nobil-sushi-floresti/10752/restaurant
44,Pizzeria Golosa,https://tazzcdn.akamaized.net/uploads/cover/renditionDownload_18.jpg,,https://tazz.ro/cluj-napoca/pizzeria-golosa/15441/restaurant
45,GARLIC bites & tales,https://tazzcdn.akamaized.net/uploads/cover/209758583_l_normal_none.jpg,,https://tazz.ro/cluj-napoca/garlic-bites-tales/1405/restaurant
46,Hummus Wrap,https://tazzcdn.akamaized.net/uploads/cover/Menu_Kebab.jpg,Promo la livrare,https://tazz.ro/cluj-napoca/hummus-wrap/2250/restaurant
47,Asalt Food Truck,https://tazzcdn.akamaized.net/uploads/cover/Meniu_burger_dublu.jpg,-20%,https://tazz.ro/cluj-napoca/asalt-food-truck/5069/restaurant
48,Gloria Jean`s Coffees,https://tazzcdn.akamaized.net/uploads/cover/GJC_Cover_Tazz_Cluj.jpg,,https://tazz.ro/cluj-napoca/gloria-jean-s-coffees/7079/restaurant
49,Delice Waffle,https://tazzcdn.akamaized.net/uploads/cover/0_-__Cover.jpg,-30%,https://tazz.ro/cluj-napoca/delice-waffle/8462/restaurant
50,Zaki Oriental Restaurant Halal,https://tazzcdn.akamaized.net/uploads/cover/Arabic-food-social-media-image.png,,https://tazz.ro/cluj-napoca/zaki-oriental-restaurant-halal/19268/restaurant
51,Sushi Point,https://tazzcdn.akamaized.net/uploads/cover/All_salmon.jpg,-30%,https://tazz.ro/cluj-napoca/sushi-point/1213/restaurant
52,Gelateria Bulevard M,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_48.jpg,,https://tazz.ro/cluj-napoca/gelateria-bulevard-m/7732/restaurant
53,Ciao Ragazzi,https://tazzcdn.akamaized.net/uploads/cover/ragazzi-cover.jpg,,https://tazz.ro/cluj-napoca/ciao-ragazzi/10501/restaurant
54,Nobil Sushi Cluj,https://tazzcdn.akamaized.net/uploads/cover/Nobil-Mix-1-770x513_1.jpg,Doar pe Tazz,https://tazz.ro/cluj-napoca/nobil-sushi-cluj/10749/restaurant
55,Verdino Planet,https://tazzcdn.akamaized.net/uploads/cover/banner_hungry_1920x1080_v2-01.jpg,1+1,https://tazz.ro/cluj-napoca/verdino-planet/15314/restaurant
56,Piadina Iulius Mall,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_27.jpg,,https://tazz.ro/cluj-napoca/piadina-iulius-mall/1083/restaurant
57,Homemade Pizza,https://tazzcdn.akamaized.net/uploads/cover/Untitled_3.jpg,,https://tazz.ro/cluj-napoca/homemade-pizza/3814/restaurant
58,SUMESHI Sushi,https://tazzcdn.akamaized.net/uploads/cover/coperta_6_1.jpg,-30%,https://tazz.ro/cluj-napoca/sumeshi-sushi/13444/restaurant
59,Little Hanoi Restaurant,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_13.jpg,,https://tazz.ro/cluj-napoca/little-hanoi-restaurant/1254/restaurant
60,Tortelli Pasta Bar,https://tazzcdn.akamaized.net/uploads/cover/B91A5165_1.jpg,,https://tazz.ro/cluj-napoca/tortelli-pasta-bar/1342/restaurant
61,Magic Coco,https://tazzcdn.akamaized.net/uploads/cover/thumbnail.jfif,-30%,https://tazz.ro/cluj-napoca/magic-coco/1719/restaurant
62,The Masters,https://tazzcdn.akamaized.net/uploads/cover/Capture_2.png,-30%,https://tazz.ro/cluj-napoca/the-masters/3986/restaurant
63,Crunchy Pizza,https://tazzcdn.akamaized.net/uploads/cover/225258529-1072926283242408-4286088190709823653-n1.jpeg,,https://tazz.ro/cluj-napoca/crunchy-pizza/8504/restaurant
64,Taste of Asia Chef Cuisine,https://tazzcdn.akamaized.net/uploads/cover/renditionDownload_1.jpg,-40%,https://tazz.ro/cluj-napoca/taste-of-asia-chef-cuisine/11127/restaurant
65,The Griddle,https://tazzcdn.akamaized.net/uploads/cover/banner_platforma_1.jpg,,https://tazz.ro/cluj-napoca/the-griddle/14386/restaurant
66,SUSHI YAMAMORI,https://tazzcdn.akamaized.net/uploads/cover/renditionDownload_-_2023-02-09T151654.100.jpg,1+1,https://tazz.ro/cluj-napoca/sushi-yamamori/15917/restaurant
67,Color Pizza,https://tazzcdn.akamaized.net/uploads/cover/colorpizza.jpg,-25% TOT meniul,https://tazz.ro/cluj-napoca/color-pizza/18226/restaurant
68,Poco Loco Floresti,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_62.jpg,-30%,https://tazz.ro/cluj-napoca/poco-loco-floresti/1181/restaurant
69,Gorgeous Restaurant,https://tazzcdn.akamaized.net/uploads/cover/Cover_.jpg,-20%,https://tazz.ro/cluj-napoca/gorgeous-restaurant/3870/restaurant
70,La Casa Delivery Sweets Vivo!,https://tazzcdn.akamaized.net/uploads/cover/73468_floricele_cu_gem.jpg,,https://tazz.ro/cluj-napoca/la-casa-delivery-sweets-vivo-/4411/restaurant
71,Bistro La Turku,https://tazzcdn.akamaized.net/uploads/cover/142799385_432856241490112_7526413467795483379_n.jpg,-20%,https://tazz.ro/cluj-napoca/bistro-la-turku/5593/restaurant
72,Magic Sushi,https://tazzcdn.akamaized.net/uploads/cover/Coperta_-_0W9A3003.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/magic-sushi/5742/restaurant
73,California Burger (Floresti),https://tazzcdn.akamaized.net/uploads/cover/poza_cover_restaurant.jpg,,https://tazz.ro/cluj-napoca/california-burger-floresti-/5981/restaurant
74,VegEatUp!,https://tazzcdn.akamaized.net/uploads/cover/zr-9482cover.jpeg,-30%,https://tazz.ro/cluj-napoca/vegeatup-/8586/restaurant
75,Pasta Nostra Cluj,https://tazzcdn.akamaized.net/uploads/cover/Poza_profil_1.jpg,,https://tazz.ro/cluj-napoca/pasta-nostra-cluj/12624/restaurant
76,Meat Up,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_2.jpg,,https://tazz.ro/cluj-napoca/meat-up/1087/restaurant
77,Trattoria Gemellini,https://tazzcdn.akamaized.net/uploads/cover/Cover_Gemellini.jpg,,https://tazz.ro/cluj-napoca/trattoria-gemellini/1183/restaurant
78,Mates Pub,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_-_Copy_1.jpg,,https://tazz.ro/cluj-napoca/mates-pub/1387/restaurant
79,Sandwich Shop,https://tazzcdn.akamaized.net/uploads/cover/ssh.jpg,,https://tazz.ro/cluj-napoca/sandwich-shop/1487/restaurant
80,Roata,https://tazzcdn.akamaized.net/uploads/cover/Supa_de_salata_verde_cu_bulz20.jpg,Bunătăți,https://tazz.ro/cluj-napoca/roata/1768/restaurant
81,Asalt,https://tazzcdn.akamaized.net/uploads/cover/Meniu_burger_dublu_1.jpg,-20%,https://tazz.ro/cluj-napoca/asalt/11544/restaurant
82,SIP TASTY FOOD,https://tazzcdn.akamaized.net/uploads/cover/WhatsApp_Image_2023-12-04_at_12.12.34_c1cfff9d.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/sip-tasty-food/15811/restaurant
83,Apropo Pizza,https://tazzcdn.akamaized.net/uploads/cover/17554089-by-the-way.f3f80e3-wjj5DKV.jpg,,https://tazz.ro/cluj-napoca/apropo-pizza/16283/restaurant
84,Thai Food,https://tazzcdn.akamaized.net/uploads/cover/POZA_FUNDAL.jpg,,https://tazz.ro/cluj-napoca/thai-food/18207/restaurant
85,The Doner Place Delivery by Doner Maxx,https://tazzcdn.akamaized.net/uploads/cover/cover12345_1.jpg,,https://tazz.ro/cluj-napoca/the-doner-place-delivery-by-doner-maxx/18862/restaurant
86,BERRAK KEBAB,https://tazzcdn.akamaized.net/uploads/cover/sistavuklalipie.jpg,,https://tazz.ro/cluj-napoca/berrak-kebab/19894/restaurant
87,Znob Pizza,https://tazzcdn.akamaized.net/uploads/cover/znobjohn2.jpeg,-20%,https://tazz.ro/cluj-napoca/znob-pizza/1133/restaurant
88,Gandhi,https://tazzcdn.akamaized.net/uploads/cover/Grup.jpg,-20%,https://tazz.ro/cluj-napoca/gandhi/4120/restaurant
89,Storia Cucina Centrale Cluj,https://tazzcdn.akamaized.net/uploads/cover/B91A8953.jpg,,https://tazz.ro/cluj-napoca/storia-cucina-centrale-cluj/4466/restaurant
90,La Ayan,https://tazzcdn.akamaized.net/uploads/cover/MicrosoftTeams-image_62.png,,https://tazz.ro/cluj-napoca/la-ayan/7044/restaurant
91,Bacania Bolloga,https://tazzcdn.akamaized.net/uploads/cover/cover_2_3.jfif,,https://tazz.ro/cluj-napoca/bacania-bolloga/12651/restaurant
92,Phoenix Cluj,https://tazzcdn.akamaized.net/uploads/cover/cover_phoenix.jpg,,https://tazz.ro/cluj-napoca/phoenix-cluj/13205/restaurant
93,The Food Station Grill Pasta,https://tazzcdn.akamaized.net/uploads/cover/k_Photo_Recipe_Ramp_Up_2022-04-Penne-Pomodoro_IMG_8136_R3.jfif,1+1,https://tazz.ro/cluj-napoca/the-food-station-grill-pasta/15719/restaurant
94,Sisters Pizza,https://tazzcdn.akamaized.net/uploads/cover/cover_sisters.jpg,,https://tazz.ro/cluj-napoca/sisters-pizza/15870/restaurant
95,Antica Pizza,https://tazzcdn.akamaized.net/uploads/cover/Pizza_Prosciutto_funghi.jpg,-20% TOT meniul,https://tazz.ro/cluj-napoca/antica-pizza/1097/restaurant
96,Il Forno,https://tazzcdn.akamaized.net/uploads/cover/Prosciutto_crudo.jpg,-30%,https://tazz.ro/cluj-napoca/il-forno/4199/restaurant
97,Gente Senior,https://tazzcdn.akamaized.net/uploads/cover/gene.jpg,,https://tazz.ro/cluj-napoca/gente-senior/4220/restaurant
98,Rummu Citrus,https://tazzcdn.akamaized.net/uploads/cover/Rummu_new_cover.jpg,Doar pe Tazz,https://tazz.ro/cluj-napoca/rummu-citrus/4345/restaurant
99,Bussola,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_38.jpg,-25%,https://tazz.ro/cluj-napoca/bussola/5062/restaurant
100,Donuterie Iulius Mall Cluj,https://tazzcdn.akamaized.net/uploads/cover/cover-donuts_2.jpg,,https://tazz.ro/cluj-napoca/donuterie-iulius-mall-cluj/6422/restaurant
101,Cugini Pizza,https://tazzcdn.akamaized.net/uploads/cover/cover_182.jpg,-20% TOT meniul,https://tazz.ro/cluj-napoca/cugini-pizza/9293/restaurant
102,Rosa Pizzerie Florești,https://tazzcdn.akamaized.net/uploads/cover/pizza_rosa_floresti.jpg,,https://tazz.ro/cluj-napoca/rosa-pizzerie-floresti/10799/restaurant
103,GARLIC bites & tales Delivery,https://tazzcdn.akamaized.net/uploads/cover/209758574_l_normal_none.jpg,,https://tazz.ro/cluj-napoca/garlic-bites-tales-delivery/14473/restaurant
104,Miracolul Raclette,https://tazzcdn.akamaized.net/uploads/cover/17._Profil.jpg,,https://tazz.ro/cluj-napoca/miracolul-raclette/15511/restaurant
105,Pizza Johnny,https://tazzcdn.akamaized.net/uploads/cover/Bianca_e_speck.jpg,,https://tazz.ro/cluj-napoca/pizza-johnny/15815/restaurant
106,SHTO,https://tazzcdn.akamaized.net/uploads/cover/renditionDownload_238.jpg,-20%,https://tazz.ro/cluj-napoca/shto/18996/restaurant
107,Ronin Sushi,https://tazzcdn.akamaized.net/uploads/cover/family_pack_nigiri.jpg,-30%,https://tazz.ro/cluj-napoca/ronin-sushi/1221/restaurant
108,Wasabi Sushi Delivery Cluj,https://tazzcdn.akamaized.net/uploads/cover/WhatsApp_Image_2020-06-16_at_14.02.39.jpeg,,https://tazz.ro/cluj-napoca/wasabi-sushi-delivery-cluj/1813/restaurant
109,Barbacoa S.M.O.K.E.R.,https://tazzcdn.akamaized.net/uploads/cover/WhatsApp_Image_2021-03-22_at_11.09.34.jpeg,-20%,https://tazz.ro/cluj-napoca/barbacoa-s-m-o-k-e-r-/5230/restaurant
110,Shepherd’s Pub & Kitchen,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_35.jpg,,https://tazz.ro/cluj-napoca/shepherd-s-pub-kitchen/6226/restaurant
111,Yummy Yang Vivo - Cluj,https://tazzcdn.akamaized.net/uploads/cover/0__Cover.jpg,,https://tazz.ro/cluj-napoca/yummy-yang-vivo-cluj/6716/restaurant
112,London Brothers,https://tazzcdn.akamaized.net/uploads/cover/blue_meniu.jpg,-30%,https://tazz.ro/cluj-napoca/london-brothers/8543/restaurant
113,Thessaly Greek Taverna,https://tazzcdn.akamaized.net/uploads/cover/X_365.jpg,,https://tazz.ro/cluj-napoca/thessaly-greek-taverna/9604/restaurant
114,Pizzarelli Strada,https://tazzcdn.akamaized.net/uploads/cover/tasty-pizza-with-cherries-onions-1081454.jpg,,https://tazz.ro/cluj-napoca/pizzarelli-strada/10776/restaurant
115,Pizzeria Venezia,https://tazzcdn.akamaized.net/uploads/cover/209290031_l_normal_none.jpg,,https://tazz.ro/cluj-napoca/pizzeria-venezia/10879/restaurant
116,Marhaba Lebanese Restaurant,https://tazzcdn.akamaized.net/uploads/cover/falafel_cover.jpg,,https://tazz.ro/cluj-napoca/marhaba-lebanese-restaurant/11520/restaurant
117,Sopra Experience,https://tazzcdn.akamaized.net/uploads/cover/WhatsApp_Image_2023-01-26_at_15.10.35_1.jpeg,-30%,https://tazz.ro/cluj-napoca/sopra-experience/14610/restaurant
118,Lucky Noodles,https://tazzcdn.akamaized.net/uploads/cover/renditionDownload_-_2023-03-13T132517.330.jpg,Promo la livrare,https://tazz.ro/cluj-napoca/lucky-noodles/16298/restaurant
119,Deliciul Urban Pizza&Food Delivery,https://tazzcdn.akamaized.net/uploads/cover/thumb-1920-912623_1.jpg,,https://tazz.ro/cluj-napoca/deliciul-urban-pizza-food-delivery/7150/restaurant
120,Eggo - this is how we brunch,https://tazzcdn.akamaized.net/uploads/cover/199314824_l_normal_none01.jpg,-20%,https://tazz.ro/cluj-napoca/eggo-this-is-how-we-brunch/12381/restaurant
121,Big Belly Cluj,https://tazzcdn.akamaized.net/uploads/cover/big_belly_cover.jpg,-20%,https://tazz.ro/cluj-napoca/big-belly-cluj/1121/restaurant
122,Sorriso Bistro,https://tazzcdn.akamaized.net/uploads/cover/50250740_2083454561895972_6343787625291186176_n.jpg,,https://tazz.ro/cluj-napoca/sorriso-bistro/1123/restaurant
123,Euphoria Biergarten Cluj,https://tazzcdn.akamaized.net/uploads/cover/Euphoria_Cluj_Cover.jpg,Bunătăți,https://tazz.ro/cluj-napoca/euphoria-biergarten-cluj/1175/restaurant
124,Double Cheese Floresti,https://tazzcdn.akamaized.net/uploads/cover/pizza-1949183__340.webp,-30%,https://tazz.ro/cluj-napoca/double-cheese-floresti/1182/restaurant
125,Easy Chilli Floresti,https://tazzcdn.akamaized.net/uploads/cover/Diavolo_Chili.jpg,-30%,https://tazz.ro/cluj-napoca/easy-chilli-floresti/1300/restaurant
126,Pizzarelli-Pizza Bar,https://tazzcdn.akamaized.net/uploads/cover/FranciscPhotographer-4_Poza_noua_cover_Pizzarelli.jpg,,https://tazz.ro/cluj-napoca/pizzarelli-pizza-bar/1411/restaurant
127,Schnitzel on Wheels,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_14.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/schnitzel-on-wheels/1890/restaurant
128,Cofetaria Olympos,https://tazzcdn.akamaized.net/uploads/cover/erros_cioco.jpg,,https://tazz.ro/cluj-napoca/cofetaria-olympos/4247/restaurant
129,Pizzeria Paulino,https://tazzcdn.akamaized.net/uploads/cover/fresh-pepperoni-pizza-on-black.jpg,,https://tazz.ro/cluj-napoca/pizzeria-paulino/4713/restaurant
130,The Crunchery,https://tazzcdn.akamaized.net/uploads/cover/screenshot-2021-08-13-145539.jpg,,https://tazz.ro/cluj-napoca/the-crunchery/8402/restaurant
131,Grande,https://tazzcdn.akamaized.net/uploads/cover/poza_generala.png,-30%,https://tazz.ro/cluj-napoca/grande/10153/restaurant
132,London Brothers Pizza,https://tazzcdn.akamaized.net/uploads/cover/winter.jpg,-30%,https://tazz.ro/cluj-napoca/london-brothers-pizza/13252/restaurant
133,Indigo,https://tazzcdn.akamaized.net/uploads/cover/Kadai_Paneer.jpg,-30%,https://tazz.ro/cluj-napoca/indigo/1140/restaurant
134,Express Chef,https://tazzcdn.akamaized.net/uploads/cover/exch_cover.jpg,Doar pe Tazz,https://tazz.ro/cluj-napoca/express-chef/1154/restaurant
135,Captain Burger,https://tazzcdn.akamaized.net/uploads/cover/cptburger.jpg,,https://tazz.ro/cluj-napoca/captain-burger/3174/restaurant
136,Mado Cluj Iulius Mall,https://tazzcdn.akamaized.net/uploads/cover/X_copy.jpg,-30%,https://tazz.ro/cluj-napoca/mado-cluj-iulius-mall/3747/restaurant
137,Romanian Burger BBQ,https://tazzcdn.akamaized.net/uploads/cover/cvoerromanian.jpg,-20%,https://tazz.ro/cluj-napoca/romanian-burger-bbq/4258/restaurant
138,Berar Restaurant,https://tazzcdn.akamaized.net/uploads/cover/166951419_l_normal_none.jpg,1+1,https://tazz.ro/cluj-napoca/berar-restaurant/4638/restaurant
139,Mesopotamia - Cluj,https://tazzcdn.akamaized.net/uploads/cover/poza_cover_-_1920_x_1080_15.jpg,,https://tazz.ro/cluj-napoca/mesopotamia-cluj/8855/restaurant
140,Napoli Centrale,https://tazzcdn.akamaized.net/uploads/cover/77066430_2186976784736931_978337367561601024_o.jpg,,https://tazz.ro/cluj-napoca/napoli-centrale/1439/restaurant
141,Makeba,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_19.jpg,,https://tazz.ro/cluj-napoca/makeba/3280/restaurant
142,Bistro LOVEGAN,https://tazzcdn.akamaized.net/uploads/cover/cover_234.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/bistro-lovegan/6775/restaurant
143,Restaurant Shanghai,https://tazzcdn.akamaized.net/uploads/cover/IMG_2943.jpg,,https://tazz.ro/cluj-napoca/restaurant-shanghai/8532/restaurant
144,Cofetaria Arta Atelier de dulce Floresti,https://tazzcdn.akamaized.net/uploads/cover/X_231_1.jpg,Bunătăți,https://tazz.ro/cluj-napoca/cofetaria-arta-atelier-de-dulce-floresti/14635/restaurant
145,LaListe Iulius Mall Cluj,https://tazzcdn.akamaized.net/uploads/cover/cover_183.jpg,Doar pe Tazz,https://tazz.ro/cluj-napoca/laliste-iulius-mall-cluj/17420/restaurant
146,Samsara,https://tazzcdn.akamaized.net/uploads/cover/thumbnail_samsara_natuu_deli_si_cover-86p_2.jpg,-35%,https://tazz.ro/cluj-napoca/samsara/2963/restaurant
147,Cartofisserie - Iulius Mall Cluj-Napoca,https://tazzcdn.akamaized.net/uploads/cover/Cartofi_la_costum_8.jpg,,https://tazz.ro/cluj-napoca/cartofisserie-iulius-mall-cluj-napoca/3668/restaurant
148,20 Pizza,https://tazzcdn.akamaized.net/uploads/cover/pizza-baking-fast-food-lunch-business-lunch-restaurant-snacks-food-menu_2.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/20-pizza/4217/restaurant
149,Pizza Hai Hui,https://tazzcdn.akamaized.net/uploads/cover/COVER._0031.jpg,,https://tazz.ro/cluj-napoca/pizza-hai-hui/4558/restaurant
150,Mesopotamia - Centrul Comercial Vivo,https://tazzcdn.akamaized.net/uploads/cover/poza_cover_-_1920_x_1080_18_1.jpg,,https://tazz.ro/cluj-napoca/mesopotamia-centrul-comercial-vivo/9640/restaurant
151,The Classic,https://tazzcdn.akamaized.net/uploads/cover/cover_12_5.jpg,,https://tazz.ro/cluj-napoca/the-classic/12620/restaurant
152,Casa Dacilor,https://tazzcdn.akamaized.net/uploads/cover/casa_dacilor.jpg,Bunătăți,https://tazz.ro/cluj-napoca/casa-dacilor/1228/restaurant
153,Mado Cluj Vivo Mall,https://tazzcdn.akamaized.net/uploads/cover/X_copy_1.jpg,-30%,https://tazz.ro/cluj-napoca/mado-cluj-vivo-mall/3748/restaurant
